"","X1","X2","X3","Order_reshape"
"87343","252880","360892","1390604","87343"
"87345","231274","144945","1714612","87345"
"87346","1145721","245674","310473","87346"
"87349","1844211","1628194","65709","87349"
"87350","166468","51346","1808204","87350"
"87377","15374","87372","22578","87377"
"87382","123377","87383","130581","87382"
"87384","44185","152175","15388","87384"
"87385","116180","72989","123386","87385"
"87388","80187","101775","123387","87388"
"87389","87387","36978","36973","87389"
"94351","209540","576749","252747","94351"
"94352","303161","288747","634351","94352"
"94353","288747","303161","454358","94353"
"94356","382350","267152","22361","94356"
"94360","223950","648755","468750","94360"
"94453","1455404","58506","202475","94453"
"94457","260062","540869","814479","94457"
"94461","519315","375280","699357","94461"
"94462","1282582","1275341","1541802","94462"
"94464","821731","656124","368079","94464"
"94467","713734","1808222","1556203","94467"
"94468","1311378","1491346","2333732","94468"
"94469","368087","418477","15339","94469"
"94470","159283","360947","101748","94470"
"94472","1966591","1995388","1858570","94472"
"94473","360941","533723","15346","94473"
"94478","1678616","123339","94520","94478"
"94482","209690","324893","1908941","94482"
"94484","195322","144904","1743416","94484"
"94491","1232180","2693770","1822591","94491"
"94496","274525","1952177","2052961","94496"
"94500","1512949","584089","1462543","94500"
"94505","1340111","994540","1318515","94505"
"94506","44110","440089","58540","94506"
"94507","1541801","231265","2463378","94507"
"94516","274477","267283","116131","94516"
"94517","1296942","1469804","2254549","94517"
"94519","569732","1441005","245675","94519"
"94523","677779","1059292","2124990","94523"
"94525","80134","1858578","1340181","94525"
"94527","749693","1541762","1685802","94527"
"94533","612871","1131367","324868","94533"
"94542","800116","58459","425744","94542"
"94543","576934","800124","2218535","94543"
"94545","123312","108944","1793809","94545"
"94547","51348","209743","1779420","94547"
"94549","1469801","36943","180951","94549"
"94550","1801025","1973824","173751","94550"
"94551","432877","152138","1484199","94551"
"94553","288874","152139","1714612","94553"
"94576","36977","72973","166580","94576"
"94579","87379","123376","116183","94579"
"94587","101775","80187","123387","94587"
"101551","180749","202352","591150","101551"
"101552","612750","94348","195154","101552"
"101556","382350","267152","22361","101556"
"101560","555156","641555","619955","101560"
"101651","1772180","1858566","857705","101651"
"101653","1757801","1289723","15336","101653"
"101655","216866","836091","756940","101655"
"101657","1397725","915291","332060","101657"
"101661","80141","166483","540937","101661"
"101662","1498581","1282540","1116968","101662"
"101663","936976","1476996","1203378","101663"
"101668","591313","1973818","2405742","101668"
"101669","850538","1923391","310534","101669"
"101670","101748","360947","1981005","101670"
"101672","1066529","533715","1743405","101672"
"101678","65706","281726","1815410","101678"
"101681","461673","1729005","1793811","101681"
"101682","260103","1224933","2125016","101682"
"101686","29728","1865777","2549746","101686"
"101708","1289802","58542","188117","101708"
"101713","699360","339326","116097","101713"
"101714","2053001","94518","324887","101714"
"101716","584132","1289799","2045804","101716"
"101717","1829794","1908978","1952210","101717"
"101719","267289","1527406","1736206","101719"
